Numéro,B_mean,G_mean,R_mean
1,86.37078651685393,84.97752808988764,81.17977528089888
2,102.6125,85.4125,66.0375
3,106.20065789473684,99.11842105263158,95.01644736842105
4,133.08375634517768,131.55583756345177,113.71489001692048
5,71.0,71.83783783783784,68.67567567567568
6,92.93333333333334,89.95897435897436,90.66495726495727
7,89.82231404958678,87.60743801652893,81.00826446280992
8,132.30823863636363,128.63020833333334,113.28125
9,77.54795117698343,77.2510897994769,75.60723626852659
10,73.63333333333334,79.36666666666666,83.96666666666667
11,109.15485278080698,106.54852780806979,103.75027262813522
12,98.06259980836793,91.5151708719259,85.06068348770361
13,149.88235294117646,141.95833333333334,127.74387254901961
14,92.73341375150784,89.7816646562123,89.35946924004826
15,142.94695298897273,136.82611723737668,128.64968078932094
16,194.2507313505607,179.92820575329108,159.90065821550462
17,137.55441972339145,135.07496492283022,134.88113850471035
18,140.8047385620915,131.81399782135077,120.67374727668846
19,94.82457222136581,92.97533528595653,75.25358409125944
20,169.39194954553886,162.58560563902802,156.30792060842145
21,99.07317073170732,91.9390243902439,87.32926829268293
22,162.06598910001472,148.1396376491383,106.30490499337164
23,107.72687062292665,99.1953556948028,91.7441946185035
24,101.94444444444444,96.83333333333333,85.61111111111111
25,94.70227972889711,92.46370918052989,91.29759704251386
26,110.04347826086956,105.96825396825396,98.81780538302277
27,153.2320858242568,136.01523216771764,114.48898534108591
28,140.9147390556299,116.77958325367999,92.02121965207418
29,72.63121434392828,71.77139364303179,66.26609616951916
30,112.80183255479699,114.7098454904779,99.79464606539706
31,131.97954699121027,122.23343475321163,105.5606828938472
32,153.2473273620341,141.33487431378214,120.37937012424155
33,132.09925181201777,127.17138180967969,114.13140051437924
34,71.43511450381679,70.50381679389314,69.91603053435115
35,175.11764705882354,172.6764705882353,179.97058823529412
36,120.95887445887446,116.2732683982684,108.94751082251082
37,137.72008165348302,131.45828017351366,119.38747129369737
38,167.40351458885942,153.309350132626,135.9990053050398
39,196.3790240596408,176.3629278210776,146.75686208065062
40,196.931177134261,186.34449040992854,179.94960511470478
41,143.08455882352942,131.54115604575162,114.87316176470588
